Opportunity Name,Organization/Household Name: Organization/Household Name,Opportunity Record Type,Project: Project Name,pi1,Proposal Submission Date,Won Proposal,Opportunities Count,Project: Country Program: Country Program Name,Project: Research Not Managed by IPA,Allocation Type,Original Close Date,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10,pi11,pi12,pi13,pi14
J-PAL JOI for Freetown Mangroves,Harvard University,Grant Proposal,Freetown Tree Planting,Dev Patel,4/16/2025,0,1,Sierra Leone,0.0,Allocation,4/16/2025,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,DFS Pricing Data Collection,,5/13/2024,1,1,,0.0,Allocation,7/15/2024,,,,,,,,,,,,,
Community Cinemas Adapting - IGI,J-PAL IGI,Grant Proposal,Community Cinemas Adapting,Donald Green,4/14/2025,0,1,Peru,0.0,Allocation,4/14/2025,Anna Maria Wilke,,,,,,,,,,,,
GWL-25-10002: Dimagi Pilot Audit,GiveWell,Grant Award,CommCare Connect Child Health Campaign pilot in Nigeria,Doug Parkerson,4/4/2025,1,1,Nigeria,0.0,Allocation,5/28/2025,Angela Doku,Cristina Clerici,,,,,,,,,,,
P&R Justice of Peace Survey,United Nations Development Program (UNDP),Grant Proposal,PNUD Justicia de Paz,,4/25/2025,0,1,Peru,0.0,Allocation,4/25/2025,,,,,,,,,,,,,
Prima AFP support,PRIMA AFP,Grant Proposal,RFP - Prima AFP,,6/6/2025,0,1,Peru,0.0,Allocation,6/6/2025,,,,,,,,,,,,,
"Climate Change, Health and Mental Health Among Labor Migrants in Zambia",Wellcome Trust,Grant Proposal,Climate Change and Mental Health Among Labor Migrants in Zambia,,4/28/2025,0,1,Zambia,0.0,Allocation,4/30/2025,,,,,,,,,,,,,
Climate Impacts Award 2025,Wellcome Trust,Grant Proposal,Mental and Physical Health Resilience in Contexts of Vulnerability,Alberto Díaz-Cayeros,4/29/2025,0,1,Mexico,0.0,Allocation,4/30/2025,,,,,,,,,,,,,
GI 2025 Proposal for Measuring organizational and management capabilities in local governments,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Measuring organizational and management capabilities in local governments,Rodrigo Canales,4/22/2025,0,1,Mexico,0.0,Allocation,4/22/2025,,,,,,,,,,,,,
Partnership for AI Evidence (PAIE),Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Learning Large Language Models,Mauricio Fernandez,5/2/2025,0,1,Mexico,0.0,Allocation,5/6/2025,,,,,,,,,,,,,
Climate Impacts Award 2025,Wellcome Trust,Grant Proposal,Evaluation of Climate Adaptation Strategies on Mental and Physical Health,,4/29/2025,0,1,Mexico,0.0,Allocation,4/30/2025,,,,,,,,,,,,,
F4E-25-10001: Food for Education Learning Plan Design (LPD) 2025,Food for Education,Grant Award,Food for Education Learning Plan Design (LPD) 2025,,3/31/2025,1,1,Kenya,0.0,Allocation,7/14/2025,,,,,,,,,,,,,
Agency Fund: Radio Interventions on Martenal Health,The Agency Fund,Grant Proposal,Scaling up a Radio Campaign in Malawi,,5/8/2025,0,1,Malawi,0.0,Allocation,5/9/2025,,,,,,,,,,,,,
BMG-24-10016: Generating evidence on credit innovations for women,Gates Foundation,Grant Award,Tatkal loans for market vendors in Tamil Nadu in India,,6/7/2024,1,1,,0.0,External Subaward,11/25/2024,Natalia Rigol,Benjamin Roth,,,,,,,,,,,
Lego-25-10010: Thriving Through Play - Service Agreement,LEGO Foundation,Grant Award,RTP Uganda Context Study,,6/15/2024,1,1,Uganda,0.0,Allocation,2/27/2025,,,,,,,,,,,,,
GiveWell for Guttmacher CSE in SL,Guttmacher Institute,Grant Award,Comprehensive Sexuality Education (CSE) in Sierra Leone,,5/19/2025,1,1,Sierra Leone,0.0,Allocation,5/19/2025,,,,,,,,,,,,,
Culturally Wise Parenting Information Campaign and Early Childhood Development,The Agency Fund,Grant Proposal,Culturally Wise Parenting Information Campaign and Early Childhood Development,,5/9/2025,0,1,Francophone West Africa,0.0,Allocation,5/9/2025,,,,,,,,,,,,,
HereWeGrow-25-10002: HereWeGrow Evaluation of VE's Graduation Approach in Coffee Farming Communities in Ethiopia,HereWeGrow,Grant Award,HereWeGrow Evaluation of VE's Graduation Approach in Coffee Farming Communities,,4/17/2025,1,1,Ethiopia,0.0,Allocation,4/17/2025,Rachel Steinacher,,,,,,,,,,,,
VIL-25-10001: Village Enterprise MEL support,Village Enterprise,Grant Award,Village Enterprise MEL support,,4/3/2025,1,1,Uganda,0.0,Allocation,6/13/2025,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Syrian Refugee Life Study 2025-26,Ted Miguel,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,Ala' Alrababa'h,Jeremy Weinstein,Marine Casalis,Dominik Hangartner,Daniel Masterson,Emma Smith,Sandra Rozo,,,,,,
LIF-25-10004: LIF - IPA Policy Operating Support,Livelihood Impact Fund,Grant Award,Supporting Scaling and Policy work in Kenya,,2/18/2025,1,1,Kenya,0.0,Allocation,2/18/2025,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Experimental Evidence on the Impact of Work Permits on Refugees and Hosts,Gharad Bryan,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,Sarah Winton,Christian Meyer,Tsegay Tekleselassie,,,,,,,,,,
EAS-25-10003 Evidence Action DSW_ILC Extension Activities (Uganda),Evidence Action,Grant Award,Givewell_DIL_Evidence Action Uganda,Luiza Cardoso De Andrade,5/6/2025,1,1,Uganda,0.0,Allocation,9/9/2025,,,,,,,,,,,,,
LIF-25-10004: LIF - IPA Policy Operating Support,Livelihood Impact Fund,Grant Award,Gender Evidence Uptake,,2/18/2025,1,1,,0.0,Allocation,2/18/2025,,,,,,,,,,,,,
OCO TA Opportunity in Chad,Guttmacher Institute,Grant Award,OCO Technical Assistance for Chad,,5/27/2025,1,1,Francophone West Africa,0.0,Allocation,5/27/2025,,,,,,,,,,,,,
Swiss TPH-25-10004: Planning Grant HPV Pulse Vaccination in Zambia,Swiss Tropical and Public Health Institute,Grant Award,HPV Pulse Vaccination in Zambia and Côte d'Ivoire,,6/30/2025,1,1,Zambia,0.0,Allocation,8/13/2025,,,,,,,,,,,,,
New Proposal for PETS & QSDS WB Survey,World Bank,Grant Proposal,PETS & QSDS WB Survey (Sierra Leone),,8/18/2025,0,1,Sierra Leone,0.0,Allocation,6/23/2025,,,,,,,,,,,,,
COR-25-10002: Cornell University-International Independent Consultant Agreement for CDG in Ghana,Cornell University,Grant Award,Compensating differentials Ghana,Heather Schofield,4/30/2025,1,1,Ghana,0.0,Allocation,8/19/2025,,,,,,,,,,,,,
QCF-24-10001: Supporting Rigorous Research on Climate and the Environment,Quadrature Climate Foundation,Grant Award,CCUSAF evaluation,Alex Pfaff,7/10/2024,1,1,Peru,0.0,Allocation,9/11/2024,,,,,,,,,,,,,
Kenya AgDev MLE Anchor Partner,Gates Foundation,Grant Proposal,Kenya AgDev MLE Anchor Partner,,4/3/2025,0,1,Kenya,0.0,Allocation,3/28/2025,,,,,,,,,,,,,
"UBir: Measuring and tackling extortion in Medellín, Colombia",University of Birmingham,Grant Proposal,Focused Deterrence to Reduce Homicides in Cali,Michael Weintraub,3/31/2025,0,1,Colombia,0.0,Allocation,3/31/2025,Santiago Tobon,Christopher Blattman,Benjamin Lessing,,,,,,,,,,
Fundacion Barco-25-10001: Proposal for Fundacion Barco - MEL Strategy,Fundacion Barco,Grant Award,Fundacion Barco - MEL Strategy,,6/13/2025,1,1,Colombia,0.0,Allocation,6/20/2025,,,,,,,,,,,,,
Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness Fears: An RCT with Women Entrepreneurs,Cornell University,Grant Proposal,Digital Interventions to Address Post-Contract Harassment and Over-Indebtedness,Shreya Atreyi Kankanhalli,6/15/2025,0,1,Kenya,0.0,Allocation,6/15/2025,Stephen J. Anderson-MacDonald,,,,,,,,,,,,
BdO-25-10001: financial self exclusion (Colombia),Banca de las Oportunidades,Grant Award,Financial self-exclusion among micro and small enterprises (MSEs) in Colombia,,6/11/2025,1,1,Colombia,0.0,Withholding,6/18/2025,,,,,,,,,,,,,
ICM-25-10006 Quality Control Support for ICM Endline (Uganda),International Care Ministries (ICM),Grant Award,ICM Quality Control Support,,5/5/2025,1,1,Uganda,0.0,Allocation,7/25/2025,,,,,,,,,,,,,
Correlates of Poverty Exit,Massachusetts Institute of Technology (MIT),Grant Proposal,Poverty Exit Correlates,,6/26/2025,0,1,Nigeria,0.0,Allocation,6/26/2025,,,,,,,,,,,,,
MateRaymi Scale-Up ODF,The Old Dart Foundation,Grant Proposal,MateRaymi Scale-Up,Juan Manuel Hernández-Agramonte,6/13/2025,0,1,Peru,0.0,Allocation,6/13/2025,,,,,,,,,,,,,
GIZ SISFOH Targeting,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Proposal,RFP - GIZ SISFOH Household Targeting Survey,,6/6/2025,0,1,Peru,0.0,Allocation,6/20/2025,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,P4T-EdTech - Lively Minds - Lively Minds Together Radio Study,,9/5/2023,1,1,Ghana,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
New Proposal for PETS & QSDS WB Survey,World Bank,Grant Proposal,PETS & QSDS WB Surveys (Liberia),,8/18/2025,0,1,Sierra Leone,0.0,Allocation,6/23/2025,,,,,,,,,,,,,
BMG-23-10013: Generating Evidence on New Wave Graduation Programs,Gates Foundation,Grant Award,Child-focused Ultra-Poor Graduation Program - Yamba Malawi,,9/14/2023,1,1,Malawi,0.0,External Subaward,11/8/2023,Moritz Poll,,,,,,,,,,,,
CREST Evaluation in Kenya,Oxford University,Grant Proposal,CREST Evaluation in Kenya,Nithya Srinivasan,6/19/2025,0,1,Kenya,0.0,Allocation,6/13/2025,Rocco Zizzamia,Stefan Dercon,Noam Angrist,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Executive Office Support,,5/11/2022,1,1,,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
GiveWell Nigeria Beneficiary Survey,GiveWell,Grant Proposal,GiveWell Nigeria Beneficiary Survey,,7/11/2025,0,1,Nigeria,0.0,Allocation,7/11/2025,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,NABU's Learning Strategy,,9/5/2023,1,1,,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,Learning Equality?s MEL system enhancement,,9/5/2023,1,1,,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
NWU-25-10048- Scoping small scale livelihoods in Uganda,Northwestern University,Grant Award,NWU_Small Scale Livelihoods_Uganda,,6/30/2025,1,1,Uganda,0.0,Allocation,6/30/2025,,,,,,,,,,,,,
Crime and Violence Initiative 2025,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Full Scale Police CBT Mexico (CVI),,6/3/2025,0,1,Mexico,0.0,Allocation,6/3/2025,,,,,,,,,,,,,
UNICEF Impact of heatwaves (closed call),United Nations Children's Fund (UNICEF),Grant Proposal,Heatwaves and school performance,,6/6/2025,0,1,Mexico,0.0,Allocation,6/6/2025,,,,,,,,,,,,,
GitLab_Strengthening BancaLab by Expanding Financial Access for Women-Led SMEs,GitLab Foundation,Grant Award,Strengthening BancaLab by Expanding Financial Access for Women-Led MSMEs,,4/21/2025,1,1,Colombia,0.0,Allocation,4/21/2025,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Academic Lead Funding to Airbel Impact Lab,Jeannie Annan,4/29/2022,1,1,,1.0,External Subaward,11/18/2022,,,,,,,,,,,,,
Dateros Peru,University of Michigan,Grant Proposal,Dateros Peru,,6/24/2025,0,1,Peru,0.0,Allocation,6/20/2025,,,,,,,,,,,,,
NGS - Using AI for Agric Extension Services,National Geographic,Grant Proposal,Leveraging Artificial Intelligence for Agricultural Services,Nicolo Tomaselli,9/30/2025,0,1,Ghana,0.0,Allocation,9/30/2025,,,,,,,,,,,,,
Village Enterprise Evaluation in Kenya - SPP,Village Enterprise,Grant Proposal,Village Enterprise Evaluation in Kenya,,7/4/2025,0,1,Kenya,0.0,Allocation,7/4/2025,,,,,,,,,,,,,
WEL-24-10019: EPSD-Soft Skills Research Fund,Wellspring Philanthropic Fund,Grant Award,Government ELA Peru,,7/17/2024,1,1,Peru,0.0,Allocation,10/10/2024,,,,,,,,,,,,,
"Supplemental Survey to the Philippines Socioeconomic Panel Survey in Aklan, Antique, and Negros Occidental",Asian Development Bank (ADB),Grant Proposal,Supplemental Survey to the PSPS in Aklan Antique and Negros Occidental,,7/18/2025,0,1,Philippines,0.0,Allocation,7/18/2025,,,,,,,,,,,,,
Supplemental Survey to the Philippines Socioeconomic Panel Survey in Iloilo and Capiz,Asian Development Bank (ADB),Grant Proposal,Supplemental Survey to the PSPS in Iloilo and Capiz,,7/18/2025,0,1,Philippines,0.0,Allocation,7/18/2025,,,,,,,,,,,,,
Funding Research for a Resilient Future,Lloyd's of London Foundation,Grant Proposal,Foodscapes Regenerative Agriculture in rice and oil palm in Colombia,,7/25/2025,0,1,Colombia,0.0,Allocation,7/25/2025,,,,,,,,,,,,,
Bridging Evidence to Action for Justice & Rights,Swedish Postcode Lottery Foundation,Grant Proposal,Bridging Evidence to Action for Justice & Rights,,7/22/2025,0,1,,0.0,Allocation,12/31/2025,,,,,,,,,,,,,
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,PPT to Visa,Andrés Ham,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,Mariona Tres,,,,,,,,,,,,
PEACECORE II,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),Grant Proposal,PEACECORE II,,8/4/2025,0,1,Nigeria,0.0,Allocation,8/4/2025,,,,,,,,,,,,,
Sompo Foundation - Teaching at the Right Level,Sompo Foundation,Grant Proposal,Teaching at the Right Level,Noam Angrist,7/31/2025,0,1,Philippines,0.0,Allocation,7/31/2025,,,,,,,,,,,,,
NWU-25-10049 Weiss Northwestern University - Financial Secrecy Proposal (Philippines),Northwestern University,Grant Award,Financial Secrecy and Intra-household Resource Concealment,,7/18/2025,1,1,Philippines,0.0,Allocation,9/4/2025,Thu Tran,,,,,,,,,,,,
BRAC Graduation Scale Up Support in the Philippines Phase 2,Abdul Latif Jameel Poverty Action Lab (J-PAL),Grant Proposal,Graduation Scale Up Support in the Philippines Phase 2,,4/14/2025,0,1,Philippines,0.0,Allocation,4/14/2025,,,,,,,,,,,,,
SVRI,Sexual Violence Research Initiative,Grant Proposal,Community-Led Prevention Strategies for Human Trafficking Risk Reduction,,7/31/2025,0,1,Mexico,0.0,Allocation,7/31/2025,,,,,,,,,,,,,
Baseline Quantitative Data Collection for a Longitudinal Study on Youth Livelihood Trajectories in Rural Kenya,International Food Policy Research Institute (IFPRI),Grant Proposal,IFPRI - Youth Livelihood Trajectories in Rural Kenya,,8/3/2025,0,1,Kenya,0.0,Allocation,8/3/2025,,,,,,,,,,,,,
Dalberg Profuturo Evaluation,Dalberg Global Development Advisors,Grant Proposal,ProFuturo evaluation,,7/25/2025,0,1,Mexico,0.0,Allocation,7/25/2025,,,,,,,,,,,,,
Sexual Violence Research Initative 2026,Sexual Violence Research Initiative,Grant Proposal,SVRI 2026 Interventions to reduce trafficking,,7/31/2025,0,1,Mexico,0.0,Allocation,7/31/2025,,,,,,,,,,,,,
Swedish Postcode Lottery Foundation,Swedish Postcode Lottery Foundation,Grant Proposal,Improving Air Quality in Mexico (SPL),,5/31/2025,0,1,Mexico,0.0,Allocation,10/15/2025,,,,,,,,,,,,,
CAGE Air Quality,University of Warwick,Grant Proposal,Full Scale RCT Air Quality in Mexico,Ludovica Gazze,3/4/2024,0,1,Mexico,0.0,Allocation,4/1/2024,Bridget Hoffmann,,,,,,,,,,,,
GiveDirectly-Impacts of cash transfers on households and markets,Oxford University,Grant Proposal,GiveDirectly-Impacts of cash transfers on households and markets,,8/15/2025,0,1,Malawi,0.0,Allocation,8/15/2025,,,,,,,,,,,,,
SBP Zambia School Baseline Surveys,World Bank,Grant Proposal,WB SBP Zambia,,7/30/2025,0,1,Zambia,0.0,Allocation,7/30/2025,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Wakilibot Uganda,Bird David Mathew,5/13/2024,1,1,Uganda,0.0,Internal Subaward,7/15/2024,,,,,,,,,,,,,
FCDO-24-10001: Strategic Impact Evaluation and Learning (SIEL),Foreign Commonwealth & Development Office (FCDO) ACCOUNTABLE GRANT AGREEMENT,Grant Award,Institutional Beliefs Civil Registration and Service Delivery in Federal Nepal,Rohini Pande,8/25/2023,1,1,United States,0.0,External Subaward,3/8/2024,Michael Callen,Noam Yuchtman,Jonathan Weigel,,,,,,,,,,
CNHF-24-10005: Two-Generation and Integration,Conrad N. Hilton Foundation,Grant Award,Corprodinco 2-gen 1v1 learning partnership (Hilton),,8/16/2024,1,1,Colombia,0.0,Allocation,12/16/2024,,,,,,,,,,,,,
IKEA-22-10003: IPA IKEA Foundation Displaced Livelihoods Initiative (with J-PAL),IKEA Foundation,Grant Award,Informal settlements and natural disasters risk,,4/29/2022,1,1,Colombia,0.0,Internal Subaward,11/18/2022,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Debt Recovery Information Provision and Legal Counseling,,5/13/2024,1,1,,1.0,Allocation,7/15/2024,Manaswini Rao,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,UMRA Collaboration,,5/13/2024,1,1,Uganda,0.0,Allocation,7/15/2024,,,,,,,,,,,,,
Survey with Farmers in Kenya - Technical University of Denmark,Technical University of Denmark,Grant Proposal,Survey with Farmers in Kenya - Technical University of Denmark,,8/22/2025,0,1,Kenya,0.0,Allocation,8/22/2025,,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,AI-Integrated Tools for Improved Civil Prosecution Outcomes in Human Trafficking,Grant Miller,9/1/2020,1,1,LAC-Other,1.0,External Subaward,9/1/2020,,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Credit Blacklisting and Entrepreneurship in Brazil,,5/13/2024,1,1,LAC-Other,1.0,Allocation,7/15/2024,Lucas Mariani,,,,,,,,,,,,
USDOS-20-10001 Human Trafficking Research Initiative,United States Department of State,Grant Award,Tackling Human Trafficking Networks in Peru,,9/1/2020,1,1,Peru,1.0,External Subaward,9/1/2020,Maria Micaela Sviatschi,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Preventing SME Default through Loan Stabilization,,5/13/2024,1,1,,1.0,Allocation,7/15/2024,Christopher Eaglin,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Digital Payments Spillovers Consumer Reallocation and Flexible Credit,,5/13/2024,1,1,,1.0,Allocation,7/15/2024,Rowan Clarke,,,,,,,,,,,,
BMG-24-10015: Consumer Protection Research Initiative II,Gates Foundation,Grant Award,Price Comparison Tools and Their Effect on Consumer Credit,,5/13/2024,1,1,LAC-Other,1.0,Allocation,7/15/2024,Sean Higgins,,,,,,,,,,,,
RTV Data Warehouse,The Agency Fund,Grant Proposal,RTV Data Warehouse (GRDS),,9/4/2025,0,1,Uganda,0.0,Allocation,9/5/2025,,,,,,,,,,,,,
JCF-24-10011: Partnerships for Technology in Education (P4T-Ed),Jacobs Foundation,Grant Award,P4T - EdTech - Edulution - Optimizing Edulution?s Blended Learning and Coaching,,9/5/2023,1,1,,0.0,Allocation,1/12/2024,,,,,,,,,,,,,
Baseline Quantitative Data Collection for Piloting Alternative Fertilizer Subsidy Schemes in Kenya,International Food Policy Research Institute (IFPRI),Grant Proposal,Baseline Quantitative Data Collection for Piloting Alternative Fertilizer Subsid,,9/14/2025,0,1,Kenya,0.0,Allocation,9/15/2025,,,,,,,,,,,,,
NGS - Using AI for Agric Extension Services,National Geographic,Grant Proposal,Assisting Farmers with Extension Services through Artificial Intelligence,Nicolo Tomaselli,9/30/2025,0,1,Ghana,0.0,Allocation,9/30/2025,Eliasu Salifu,,,,,,,,,,,,
"WEL-22-10015: Policy Outreach, Consolidation, and Local Research Capacity",Wellspring Philanthropic Fund,Grant Award,Comms Support,,5/11/2022,1,1,,0.0,Allocation,8/17/2022,,,,,,,,,,,,,
TaRL Africa Baseline and Monitoring Study,Teaching at the Right Level (TARL),Grant Proposal,TaRL Africa Baseline and Monitoring Study,,9/18/2025,0,1,Nigeria,0.0,Allocation,9/18/2025,,,,,,,,,,,,,
Digital Agriculture Extension Interventions Evaluation,Michigan State University,Grant Proposal,Evaluating Digital Agriculture Extension (EDAE),,9/19/2025,0,1,Kenya,0.0,Allocation,9/19/2025,,,,,,,,,,,,,
